微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
LxQkeiPl3,[置顶]【Cook留学答疑说明】欢迎私信我Offer信息，和申请干货信息，感谢所有投稿者！我微博的内容：英国+澳洲+中国香港+新加坡+欧陆学校申请，老地图，老照片，长沙历史留学申请报名：网页链接英国：（纯G5申请建议DIY是更好的)11000元申5所（不含G5，KCL，爱丁堡，曼大，华威申请）13000...全文 [组图共11张] 原图 ,,"http://ww4.sinaimg.cn/large/6cbca238gy1hiux8yavshj20v918zdsb.jpg,http://ww2.sinaimg.cn/large/6cbca238gy1h5y16pgr8mj20s310u0uq.jpg,http://ww2.sinaimg.cn/large/6cbca238gy1h5y18nq17ij20v90pa74g.jpg,http://ww3.sinaimg.cn/large/6cbca238gy1hfe2rtvqtfj23td4387wi.jpg,http://ww3.sinaimg.cn/large/6cbca238gy1hfe2ruksg9j23t11ostwh.jpg,http://ww1.sinaimg.cn/large/6cbca238gy1hfhi4vfx0vj20v90tzmzl.jpg,http://ww3.sinaimg.cn/large/6cbca238gy1hg8zq80beij20f30l644f.jpg,http://ww1.sinaimg.cn/large/6cbca238gy1hg8zvjwizvj20cy0o748o.jpg,http://ww1.sinaimg.cn/large/6cbca238gy1hg909zlki8j20bs0c4dhp.jpg,http://ww3.sinaimg.cn/large/6cbca238gy1hg8zua4xm0j20rl13atdw.jpg,http://ww1.sinaimg.cn/large/6cbca238gy1hg90b7cikkj20fs0jsjtw.jpg",无,无,2022-06-15 16:25,微博 weibo.com,183,14,32
N6k17tyAc,私信投稿不顺畅的朋友走邮箱就是，我看到都会尽快发出。  原图 ,,https://wx4.sinaimg.cn/large/6cbca238gy1hf5szdwrigj20u00uowi3.jpg,无,无,2023-06-21 14:01,iPhone 13 Pro Max,38,7,3
O2eUk1XyO,"【英国Offer】学生：叔关注好久了终于轮到我来求助一下了能帮孩子抉择个offer吗背景双非一本国贸专业，未来打算在杭州就业，想去外企或大厂~或者卷考公目前offer有南安的风险金融（Risk and Finance)，kcl的全球和平领导力（Global leadership and Peacebuidling）,但是伦敦感觉好贵有点想放弃...全文 ",,无,无,无,2024-02-25 16:23,微博网页版,178,0,6
O2eTOdJsJ,【英国Offer】学生：博主您好，我拿到了伯明翰大学的financial management和杜伦的accounting and finance，这两个学校专业怎么选？好纠结可以麻烦您帮我开个投票吗？BG：非211，财务管理，GPA3.3，一段实习经历。以后倾向于去银行工作谢谢大家！ 选校  ,,无,无,无,2024-02-25 16:22,微博网页版,94,0,0
O2eSQ0kSt,【澳洲Offer】学生：叔！帮对象投个稿！他拿了墨尔本大学和新南威尔士大学两个offer，都是教育学院的。本身想选墨尔本大学的教育因为排名稍微高一点。但最近有点纠结，因为新南威尔士的教育心理学是他感兴趣的专业方向，想问下大家在这两所学校面前到底是优先专业还是优先学校呢！ 谢谢大家！...全文 ,,无,无,无,2024-02-25 16:20,微博网页版,128,0,0
O2eRxsPha,【香港大学】学生：老师好！能发一下选校投票吗🙋🏻♀️ 目前手里有一个hku macc（creative communication）的offer，3.1ddl 要交13w的留位费，另外还收到mccc（media culture and creative cities）的面邀，3.6面。现在纠结的点在于mccc学费比较便宜，更有性价比，本身也更喜欢mccc，但听说面...全文 ,,无,无,无,2024-02-25 16:16,微博网页版,80,0,2
O2eO1w9P2,【英国Offer】学生：大家好，最近我来了个曼大的国际教育offer，在它和格拉的ppm中艰难选择，想请大家指教一下 （背景-我本专业就是行管的，和格拉相近，国际教育完全跨专业）：一是排名，一个前50，一个50-100；二是回国就业问题，文科不好就业，而国际教育可能比公共政策更不好就业了。  纠结的...全文 ,,无,无,无,2024-02-25 16:08,微博网页版,81,0,0
O280aCRKx,【英国Offer】学生：叔 能再发一个选校投票吗 Ual的CCI学院 Data science and ai for creative industry还是Leeds的Digital design future 本科211 专业建筑学 Gpa82+ 未来规划想要回国进相关外企、游戏公司或大厂 选校  ,,无,无,无,2024-02-24 22:48,微博网页版,117,0,0
O27ZJpC1y,【英国Offer】学生：您好，可以帮我发个择校投票么，谢谢大家，bg是双非财经类英专，未来偏向于留英做consulting，如果留不下来也更偏向于回国进大中厂/外企，考虑上海落户问题。目前收到的offer是1.Bristol mgt(international business)2.杜伦mgt考虑到杜的留学体验及师资力量、商学院三重认证，...全文 ,,无,无,无,2024-02-24 22:47,微博网页版,121,0,0
O27YTaVkz,【#牛津大学#】学生：大家好，我申请的时候只提交了大学三年的成绩，大四上的成绩刚出我就让中介去问了牛津大学需不需要我再提交一次，然后学校方面也表示接受。我想问一下牛津大学接受我提交新的成绩单是不是算一个录取的好兆头，之前的朋友们有过类似的经验吗？谢谢！  ,,无,无,无,2024-02-24 22:45,微博网页版,2,0,2
