State,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4
Alabama,5.33,6.323333333333333,6.583333333333333,3.483333333333333,5.88,4.62,4.783333333333333,4.0,5.5566666666666675,4.923333333333333,3.876666666666667,1.4
Alaska,2.6233333333333335,2.26,4.353333333333333,3.6566666666666663,3.4633333333333334,1.14,5.653333333333333,4.073333333333333,2.5933333333333333,2.6,4.526666666666666,4.06
Arizona,0.7566666666666667,0.15,2.43,0.8533333333333334,0.4266666666666667,0.24,2.32,1.0366666666666666,1.79,0.19000000000000003,1.1866666666666668,0.2
Arkansas,4.556666666666667,5.713333333333334,3.203333333333333,3.27,4.5200000000000005,5.4433333333333325,2.9566666666666666,4.31,6.276666666666666,4.44,3.5933333333333333,4.67
California,2.2566666666666664,0.18000000000000002,0.25,3.6233333333333335,0.58,0.8166666666666668,0.4533333333333333,2.8466666666666662,6.286666666666666,0.6333333333333333,0.4666666666666666,0.45
Colorado,1.3066666666666666,1.7299999999999998,1.593333333333333,1.07,1.0533333333333335,1.2466666666666668,1.9799999999999998,1.2033333333333334,1.6166666666666665,2.2666666666666666,1.58,1.05
Connecticut,2.6033333333333335,3.51,7.539999999999999,3.3699999999999997,3.1733333333333333,3.6199999999999997,3.6366666666666667,4.183333333333334,3.6366666666666667,3.453333333333333,8.58,3.34
Delaware,4.153333333333333,2.8466666666666662,4.8533333333333335,1.78,3.013333333333333,3.823333333333333,2.9433333333333334,3.9766666666666666,2.016666666666667,4.0200000000000005,4.796666666666667,1.4
Florida,2.5500000000000003,4.8533333333333335,8.226666666666667,2.83,2.9499999999999997,4.896666666666667,8.066666666666666,2.35,1.9500000000000002,5.87,6.32,2.74
Georgia,5.026666666666666,4.223333333333334,6.523333333333333,3.2733333333333334,4.043333333333334,3.36,4.946666666666666,2.9266666666666663,4.9799999999999995,4.883333333333334,4.573333333333333,2.06
Idaho,2.19,0.9333333333333332,0.8866666666666667,2.9933333333333336,1.5533333333333335,2.5500000000000003,0.65,2.59,2.2666666666666666,2.0,1.2266666666666668,1.47
Illinois,2.6999999999999997,4.173333333333333,3.6633333333333336,3.133333333333333,2.8433333333333333,3.4599999999999995,3.9599999999999995,2.1333333333333333,3.2466666666666666,2.2866666666666666,3.7099999999999995,3.23
Indiana,2.8266666666666667,4.196666666666666,4.306666666666667,3.823333333333333,3.41,3.57,3.86,1.8866666666666667,4.076666666666667,2.63,3.483333333333333,3.43
Iowa,1.6033333333333333,2.9033333333333338,3.49,2.283333333333333,1.2366666666666666,3.4466666666666668,2.8733333333333335,1.55,1.883333333333333,2.533333333333333,2.7566666666666664,3.12
Kansas,1.88,3.2899999999999996,2.6999999999999997,1.2133333333333332,0.9666666666666668,3.266666666666667,1.8666666666666665,0.98,0.9133333333333334,2.983333333333333,2.97,1.93
Kentucky,5.136666666666667,3.89,5.236666666666667,3.533333333333333,5.04,3.983333333333333,4.84,2.5733333333333337,4.846666666666667,3.59,4.09,2.43
Louisiana,4.36,8.9,6.63,2.2033333333333336,3.78,3.763333333333333,5.96,5.023333333333333,4.61,4.366666666666667,2.5233333333333334,1.44
Maine,2.2566666666666664,2.733333333333334,4.86,3.4,3.19,3.516666666666667,4.683333333333334,5.256666666666667,3.1300000000000003,4.35,5.733333333333333,4.89
Maryland,3.276666666666667,3.313333333333333,5.423333333333333,1.8433333333333335,2.94,4.3500000000000005,3.77,3.64,2.0066666666666664,3.02,4.216666666666667,1.48
Massachusetts,2.5566666666666666,3.9899999999999998,7.686666666666667,4.04,3.6099999999999994,3.0233333333333334,3.456666666666667,4.423333333333333,4.193333333333334,3.8266666666666667,7.18,3.24
Michigan,1.31,3.013333333333333,3.9066666666666663,2.7300000000000004,2.1166666666666667,3.1366666666666667,3.17,2.4499999999999997,2.59,2.58,3.4566666666666666,3.82
Minnesota,0.77,2.02,2.9299999999999997,2.1366666666666667,0.8466666666666667,3.846666666666667,2.7866666666666666,1.46,1.2866666666666668,2.396666666666667,2.4933333333333336,2.81
Mississippi,5.523333333333333,7.16,6.506666666666667,2.643333333333333,5.283333333333332,4.526666666666666,5.44,4.609999999999999,5.756666666666667,5.08,2.846666666666667,0.88
Missouri,3.236666666666667,4.973333333333334,3.393333333333333,3.0666666666666664,3.026666666666667,4.506666666666667,3.186666666666667,2.706666666666667,3.5,2.1599999999999997,4.13,3.02
Montana,0.9066666666666666,1.4366666666666665,1.0433333333333332,1.3833333333333335,0.9266666666666666,2.4033333333333333,1.2466666666666668,1.5166666666666666,1.02,2.653333333333333,1.4266666666666667,1.61
Nebraska,1.7966666666666669,2.39,2.48,0.8666666666666667,0.41,2.356666666666667,1.8066666666666666,0.6266666666666667,0.9833333333333334,2.856666666666667,3.0366666666666666,2.34
