State,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,code,state
Alabama,50.96666667,69.33333333,77.73333333,58.76666667,50.43333333,72.13333333,78.3,55.26666667,55.53333333,70.13333333,79.8,65.2,AL,Alabama
Alaska,6.9,38.36666667,47.56666667,13.1,9.633333333,39.23333333,48.8,17.5,10.16666667,35.46666667,50,27.8,AK,Alaska
Arizona,46.16666667,69.9,78.6,53.76666667,46.56666667,69.36666667,78.73333333,50.16666667,43.16666667,65.76666667,79.9,64.6,AZ,Arizona
Arkansas,43.8,67.36666667,78.1,56.1,44.36666667,69.63333333,79.1,51.5,49.36666667,69.2,79.16666667,64.1,AR,Arkansas
California,47.03333333,65.86666667,76.33333333,52.16666667,49.23333333,63.43333333,76.5,51.26666667,43.2,61.33333333,74.23333333,62.1,CA,California
Colorado,29.1,53.9,66.6,40.3,28.86666667,53.8,66.83333333,34.83333333,26.76666667,52.1,65.86666667,48.2,CO,Colorado
Connecticut,32.33333333,58.56666667,69.7,44.93333333,31.33333333,58.3,70.83333333,43.73333333,36.56666667,57.76666667,69.93333333,56.1,CT,Connecticut
Delaware,39.8,64.13333333,74.9,50.76666667,39.36666667,63.53333333,75.43333333,47.8,43.9,63.46666667,74.56666667,60.2,DE,Delaware
Florida,63.4,75.56666667,81.4,68.4,63.03333333,77.16666667,81.96666667,67.56666667,66.13333333,76.7,83.16666667,73.4,FL,Florida
Georgia,52.36666667,69.5,77.7,58.83333333,52.56666667,72.13333333,78.26666667,56.26666667,56.3,69.83333333,79.26666667,65,GA,Georgia
Idaho,28.93333333,52.3,64.3,36.13333333,28.06666667,46.8,66.56666667,32.26666667,25.2,50.13333333,63.66666667,46.1,ID,Idaho
Illinois,32.16666667,62.56666667,73.26666667,47.1,31.06666667,62.8,72.1,42.13333333,37.2,63.06666667,72.43333333,56.7,IL,Illinois
Indiana,33.33333333,61.4,72.36666667,46.9,32.63333333,62.13333333,71.46666667,42.53333333,38.6,61.3,71,56.4,IN,Indiana
Iowa,26.23333333,60.6,70.96666667,42.2,24.36666667,58.9,70.43333333,36.26666667,28.13333333,61.16666667,70.56666667,53.4,IA,Iowa
