Arizona Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,1.31,0.17
202102,0.23,-0.92
202103,0.73,-0.39
202104,0.19,-0.38
202105,0.04,-0.30
202106,0.22,-0.07
202107,3.82,2.02
202108,2.18,0.08
202109,1.29,0.11
202110,0.74,-0.16
202111,0.05,-0.80
202112,1.77,0.59
202201,0.30,-0.84
202202,0.40,-0.75
202203,0.58,-0.54
202204,0.02,-0.55
202205,0.00,-0.34
202206,0.70,0.41
202207,2.27,0.47
202208,3.24,1.14
202209,1.45,0.27
202210,1.22,0.32
202211,0.42,-0.43
202212,1.47,0.29
202301,2.21,1.07
202302,1.05,-0.10
202303,2.11,0.99
202304,0.02,-0.55
202305,0.46,0.12
202306,0.09,-0.20
202307,0.53,-1.27
202308,1.84,-0.26
202309,1.19,0.01
202310,0.20,-0.70
