Arkansas Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,4.12,0.08
202102,3.40,-0.32
202103,6.15,1.38
202104,5.54,0.50
202105,6.73,1.58
202106,4.87,0.79
202107,4.72,1.01
202108,3.02,-0.36
202109,1.87,-1.72
202110,4.21,0.75
202111,2.12,-2.17
202112,3.48,-0.89
202201,3.39,-0.65
202202,4.41,0.69
202203,5.76,0.99
202204,6.48,1.44
202205,6.47,1.32
202206,3.38,-0.70
202207,3.19,-0.52
202208,4.42,1.04
202209,1.26,-2.33
202210,3.24,-0.22
202211,4.51,0.22
202212,5.18,0.81
202301,5.90,1.86
202302,4.81,1.09
202303,8.12,3.35
202304,5.38,0.34
202305,3.84,-1.31
202306,4.10,0.02
202307,5.02,1.31
202308,3.16,-0.22
202309,2.60,-0.99
202310,4.67,1.21
