Colorado Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,0.74,-0.32
202102,1.11,0.02
202103,2.07,0.55
202104,1.01,-0.83
202105,2.99,0.97
202106,1.19,-0.35
202107,2.15,0.05
202108,1.40,-0.63
202109,1.23,-0.20
202110,1.12,-0.23
202111,0.37,-0.70
202112,1.72,0.64
202201,0.78,-0.28
202202,0.94,-0.15
202203,1.44,-0.08
202204,0.73,-1.11
202205,1.60,-0.42
202206,1.41,-0.13
202207,2.82,0.72
202208,1.91,-0.12
202209,1.21,-0.22
202210,1.12,-0.23
202211,0.91,-0.16
202212,1.58,0.50
202301,1.89,0.83
202302,1.07,-0.02
202303,1.89,0.37
202304,1.29,-0.55
202305,2.71,0.69
202306,2.80,1.26
202307,1.61,-0.49
202308,2.02,-0.01
202309,1.11,-0.32
202310,1.05,-0.30
