Connecticut Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,2.12,-1.61
202102,3.04,-0.24
202103,2.65,-1.54
202104,3.03,-1.10
202105,5.51,1.58
202106,1.99,-1.71
202107,9.35,5.44
202108,5.08,0.85
202109,8.19,4.20
202110,5.99,2.32
202111,1.99,-2.13
202112,2.13,-1.87
202201,2.59,-1.14
202202,4.08,0.80
202203,2.85,-1.34
202204,4.75,0.62
202205,2.66,-1.27
202206,3.45,-0.25
202207,2.08,-1.83
202208,2.60,-1.63
202209,6.23,2.24
202210,4.43,0.76
202211,3.09,-1.03
202212,5.03,1.03
202301,5.90,2.17
202302,1.29,-1.99
202303,3.72,-0.47
202304,4.80,0.67
202305,3.07,-0.86
202306,2.49,-1.21
202307,10.51,6.60
202308,4.78,0.55
202309,10.45,6.46
202310,3.34,-0.33
