Delaware Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,2.34,-1.15
202102,5.65,2.61
202103,4.47,0.49
202104,2.29,-1.19
202105,3.04,-0.52
202106,3.21,-0.43
202107,5.24,0.93
202108,5.47,0.88
202109,3.85,0.25
202110,3.47,0.34
202111,0.88,-2.18
202112,0.99,-2.47
202201,4.17,0.68
202202,1.94,-1.10
202203,2.93,-1.05
202204,3.94,0.46
202205,4.09,0.53
202206,3.44,-0.20
202207,3.61,-0.70
202208,2.08,-2.51
202209,3.14,-0.46
202210,4.54,1.41
202211,2.91,-0.15
202212,4.48,1.02
202301,2.41,-1.08
202302,1.85,-1.19
202303,1.79,-2.19
202304,5.62,2.14
202305,2.15,-1.41
202306,4.29,0.65
202307,5.99,1.68
202308,2.51,-2.08
202309,5.89,2.29
202310,1.40,-1.73
