Florida Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,1.79,-1.17
202102,4.12,0.97
202103,1.74,-1.95
202104,4.55,1.53
202105,1.53,-2.46
202106,8.48,1.61
202107,8.86,1.46
202108,8.75,1.57
202109,7.07,0.53
202110,3.90,0.06
202111,2.88,0.56
202112,1.71,-0.99
202201,2.27,-0.69
202202,1.19,-1.96
202203,5.39,1.70
202204,3.29,0.27
202205,4.62,0.63
202206,6.78,-0.09
202207,7.47,0.07
202208,7.05,-0.13
202209,9.68,3.14
202210,1.38,-2.46
202211,3.74,1.42
202212,1.93,-0.77
202301,1.76,-1.20
202302,1.85,-1.30
202303,2.24,-1.45
202304,4.51,1.49
202305,4.26,0.27
202306,8.84,1.97
202307,6.86,-0.54
202308,6.08,-1.10
202309,6.02,-0.52
202310,2.74,-1.10
