Georgia Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,4.61,0.22
202102,5.64,1.13
202103,4.83,-0.23
202104,3.63,-0.18
202105,2.80,-0.91
202106,6.24,1.75
202107,7.30,1.70
202108,6.75,1.83
202109,5.52,1.60
202110,4.45,1.72
202111,1.13,-1.74
202112,4.24,0.17
202201,3.99,-0.40
202202,3.47,-1.04
202203,4.67,-0.39
202204,3.71,-0.10
202205,3.43,-0.28
202206,2.94,-1.55
202207,6.17,0.57
202208,5.64,0.72
202209,3.03,-0.89
202210,1.68,-1.05
202211,3.96,1.09
202212,3.14,-0.93
202301,6.77,2.38
202302,3.57,-0.94
202303,4.60,-0.46
202304,5.03,1.22
202305,3.33,-0.38
202306,6.29,1.80
202307,4.56,-1.04
202308,6.34,1.42
202309,2.82,-1.10
202310,2.06,-0.67
