Illinois Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,2.46,0.33
202102,1.67,-0.19
202103,3.97,0.88
202104,3.04,-0.68
202105,4.31,0.23
202106,5.17,1.08
202107,4.97,1.33
202108,3.73,0.23
202109,2.29,-1.21
202110,6.02,3.23
202111,0.86,-1.90
202112,2.52,0.19
202201,1.05,-1.08
202202,3.13,1.27
202203,4.35,1.26
202204,3.54,-0.18
202205,4.09,0.01
202206,2.75,-1.34
202207,5.27,1.63
202208,4.07,0.57
202209,2.54,-0.96
202210,2.22,-0.57
202211,1.81,-0.95
202212,2.37,0.04
202301,2.59,0.46
202302,2.82,0.96
202303,4.33,1.24
202304,2.53,-1.19
202305,2.47,-1.61
202306,1.86,-2.23
202307,4.76,1.12
202308,3.99,0.49
202309,2.38,-1.12
202310,3.23,0.44
