Kansas Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,1.38,0.71
202102,0.22,-0.67
202103,4.04,2.35
202104,1.51,-0.97
202105,5.56,1.71
202106,2.80,-1.21
202107,2.80,-0.55
202108,2.53,-0.57
202109,2.77,-0.05
202110,3.05,1.05
202111,0.39,-0.96
202112,0.20,-0.65
202201,0.37,-0.30
202202,0.37,-0.52
202203,2.16,0.47
202204,0.98,-1.50
202205,5.35,1.50
202206,3.47,-0.54
202207,3.01,-0.34
202208,1.23,-1.87
202209,1.36,-1.46
202210,0.71,-1.29
202211,1.49,0.14
202212,0.74,-0.11
202301,1.07,0.40
202302,1.10,0.21
202303,0.57,-1.12
202304,1.32,-1.16
202305,3.62,-0.23
202306,4.01,0.00
202307,4.41,1.06
202308,2.89,-0.21
202309,1.61,-1.21
202310,1.93,-0.07
