Louisiana Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,3.52,-1.62
202102,4.23,-0.39
202103,5.33,0.37
202104,8.57,3.73
202105,11.38,6.22
202106,6.75,2.19
202107,6.79,1.15
202108,6.19,1.55
202109,6.91,2.79
202110,2.56,-0.85
202111,1.33,-3.01
202112,2.72,-2.75
202201,2.50,-2.64
202202,2.98,-1.64
202203,5.86,0.90
202204,3.51,-1.33
202205,4.95,-0.21
202206,2.83,-1.73
202207,5.54,-0.10
202208,10.45,5.81
202209,1.89,-2.23
202210,1.43,-1.98
202211,6.74,2.40
202212,6.90,1.43
202301,7.08,1.94
202302,3.50,-1.12
202303,3.25,-1.71
202304,6.32,1.48
202305,3.31,-1.85
202306,3.47,-1.09
202307,3.42,-2.22
202308,1.30,-3.34
202309,2.85,-1.27
202310,1.44,-1.97
