Maine Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,1.89,-1.41
202102,2.90,0.12
202103,1.98,-1.34
202104,3.24,-0.11
202105,2.74,-0.65
202106,2.22,-1.52
202107,5.46,1.67
202108,2.66,-0.85
202109,6.46,2.77
202110,3.78,0.08
202111,3.28,-0.61
202112,3.14,-0.39
202201,2.42,-0.88
202202,3.82,1.04
202203,3.33,0.01
202204,4.46,1.11
202205,2.82,-0.57
202206,3.27,-0.47
202207,4.48,0.69
202208,4.95,1.44
202209,4.62,0.93
202210,5.72,2.02
202211,4.52,0.63
202212,5.53,2.00
202301,5.42,2.12
202302,1.68,-1.10
202303,2.29,-1.03
202304,2.52,-0.83
202305,4.10,0.71
202306,6.43,2.69
202307,5.48,1.69
202308,6.72,3.21
202309,5.00,1.31
202310,4.89,1.19
