Maryland Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,2.07,-1.29
202102,4.34,1.45
202103,3.42,-0.36
202104,2.75,-0.73
202105,3.40,-0.33
202106,3.79,-0.06
202107,4.34,0.16
202108,5.84,1.46
202109,6.09,2.53
202110,3.46,0.35
202111,0.98,-2.00
202112,1.09,-2.20
202201,3.84,0.48
202202,2.14,-0.75
202203,2.84,-0.94
202204,3.83,0.35
202205,5.64,1.91
202206,3.58,-0.27
202207,4.82,0.64
202208,3.20,-1.18
202209,3.29,-0.27
202210,3.54,0.43
202211,2.92,-0.06
202212,4.46,1.17
202301,2.14,-1.22
202302,2.03,-0.86
202303,1.85,-1.93
202304,3.93,0.45
202305,1.84,-1.89
202306,3.29,-0.56
202307,5.12,0.94
202308,2.97,-1.41
202309,4.56,1.00
202310,1.48,-1.63
