Massachusetts Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,2.27,-1.37
202102,3.21,-0.01
202103,2.19,-1.74
202104,4.34,0.44
202105,5.14,1.55
202106,2.49,-1.16
202107,10.41,6.73
202108,5.17,1.27
202109,7.48,3.69
202110,6.76,3.26
202111,2.29,-1.71
202112,3.07,-0.77
202201,2.85,-0.79
202202,4.97,1.75
202203,3.01,-0.92
202204,4.10,0.20
202205,2.23,-1.36
202206,2.74,-0.91
202207,2.15,-1.53
202208,2.56,-1.34
202209,5.66,1.87
202210,4.66,1.16
202211,3.22,-0.78
202212,5.39,1.55
202301,6.78,3.14
202302,1.61,-1.61
202303,4.19,0.26
202304,3.67,-0.23
202305,3.17,-0.42
202306,4.64,0.99
202307,9.11,5.43
202308,5.45,1.55
202309,6.98,3.19
202310,3.24,-0.26
