Minnesota Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,0.56,-0.23
202102,0.31,-0.38
202103,1.44,0.18
202104,2.49,0.44
202105,1.76,-1.37
202106,1.81,-2.30
202107,1.80,-1.80
202108,4.08,0.64
202109,2.91,0.03
202110,3.26,1.34
202111,1.21,-0.10
202112,1.94,1.13
202201,0.59,-0.20
202202,0.79,0.10
202203,1.16,-0.10
202204,3.72,1.67
202205,5.03,1.90
202206,2.79,-1.32
202207,3.08,-0.52
202208,3.75,0.31
202209,1.53,-1.35
202210,0.68,-1.24
202211,1.80,0.49
202212,1.90,1.09
202301,1.04,0.25
202302,1.22,0.53
202303,1.60,0.34
202304,2.58,0.53
202305,2.18,-0.95
202306,2.43,-1.68
202307,2.01,-1.59
202308,2.29,-1.15
202309,3.18,0.30
202310,2.81,0.89
