Mississippi Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,3.76,-1.52
202102,5.11,0.10
202103,7.70,1.74
202104,6.96,1.68
202105,4.93,0.19
202106,9.59,5.50
202107,7.23,2.25
202108,7.53,3.61
202109,4.76,1.33
202110,3.17,0.26
202111,1.26,-3.02
202112,3.50,-2.07
202201,3.78,-1.50
202202,5.06,0.05
202203,7.01,1.05
202204,6.05,0.77
202205,4.88,0.14
202206,2.65,-1.44
202207,5.44,0.46
202208,9.28,5.36
202209,1.60,-1.83
202210,2.11,-0.80
202211,5.43,1.15
202212,6.29,0.72
202301,6.95,1.67
202302,5.13,0.12
202303,5.19,-0.77
202304,6.65,1.37
202305,3.06,-1.68
202306,5.53,1.44
202307,4.99,0.01
202308,1.94,-1.98
202309,1.61,-1.82
202310,0.88,-2.03
