Montana Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,0.75,-0.60
202102,1.39,0.33
202103,0.58,-0.70
202104,1.00,-0.51
202105,2.48,0.06
202106,0.83,-2.03
202107,0.65,-0.94
202108,2.05,0.74
202109,0.43,-1.03
202110,1.49,0.24
202111,0.99,-0.29
202112,1.67,0.38
202201,0.97,-0.38
202202,0.85,-0.21
202203,0.96,-0.32
202204,1.93,0.42
202205,2.39,-0.03
202206,2.89,0.03
202207,1.81,0.22
202208,0.88,-0.43
202209,1.05,-0.41
202210,1.63,0.38
202211,1.36,0.08
202212,1.56,0.27
202301,0.78,-0.57
202302,1.01,-0.05
202303,1.27,-0.01
202304,1.18,-0.33
202305,2.78,0.36
202306,4.00,1.14
202307,0.77,-0.82
202308,1.76,0.45
202309,1.75,0.29
202310,1.61,0.36
