New Hampshire Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,2.15,-1.14
202102,2.69,-0.19
202103,1.80,-1.72
202104,3.94,0.38
202105,2.99,-0.63
202106,2.22,-1.72
202107,10.58,6.56
202108,3.60,-0.17
202109,4.73,0.93
202110,4.94,1.42
202111,2.85,-1.10
202112,3.49,-0.09
202201,2.17,-1.12
202202,4.28,1.40
202203,3.07,-0.45
202204,4.30,0.74
202205,2.82,-0.80
202206,3.21,-0.73
202207,3.72,-0.30
202208,3.67,-0.10
202209,5.79,1.99
202210,3.63,0.11
202211,3.58,-0.37
202212,5.96,2.38
202301,5.41,2.12
202302,1.64,-1.24
202303,3.45,-0.07
202304,3.70,0.14
202305,3.98,0.36
202306,6.37,2.43
202307,9.08,5.06
202308,5.82,2.05
202309,4.49,0.69
202310,3.79,0.27
