New Jersey Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,1.86,-1.64
202102,4.73,1.68
202103,3.84,-0.05
202104,2.35,-1.40
202105,3.84,0.12
202106,3.37,-0.36
202107,7.62,3.14
202108,6.59,1.93
202109,6.34,2.58
202110,5.06,1.74
202111,1.01,-2.39
202112,1.26,-2.44
202201,3.37,-0.13
202202,2.71,-0.34
202203,2.63,-1.26
202204,5.03,1.28
202205,5.26,1.54
202206,3.38,-0.35
202207,2.09,-2.39
202208,2.34,-2.32
202209,3.11,-0.65
202210,6.44,3.12
202211,2.88,-0.52
202212,4.78,1.08
202301,3.67,0.17
202302,1.52,-1.53
202303,2.55,-1.34
202304,5.58,1.83
202305,1.97,-1.75
202306,3.91,0.18
202307,6.30,1.82
202308,4.07,-0.59
202309,7.70,3.94
202310,2.16,-1.16
