New Mexico Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,0.48,-0.13
202102,0.39,-0.25
202103,0.54,-0.19
202104,0.37,-0.38
202105,1.09,0.04
202106,1.72,0.55
202107,2.92,0.58
202108,2.37,-0.10
202109,1.27,-0.40
202110,0.57,-0.58
202111,0.10,-0.56
202112,0.52,-0.22
202201,0.35,-0.26
202202,0.29,-0.35
202203,0.50,-0.23
202204,0.05,-0.70
202205,0.18,-0.87
202206,2.45,1.28
202207,2.37,0.03
202208,3.51,1.04
202209,1.07,-0.60
202210,2.35,1.20
202211,0.37,-0.29
202212,0.63,-0.11
202301,0.82,0.21
202302,0.50,-0.14
202303,0.75,0.02
202304,0.11,-0.64
202305,1.45,0.40
202306,1.02,-0.15
202307,0.91,-1.43
202308,1.69,-0.78
202309,1.45,-0.22
202310,0.54,-0.61
