New York Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,2.06,-0.83
202102,2.34,-0.19
202103,1.74,-1.32
202104,3.46,0.13
202105,3.04,-0.53
202106,3.36,-0.41
202107,8.10,4.30
202108,5.33,1.63
202109,4.92,1.21
202110,6.60,3.21
202111,2.67,-0.75
202112,2.63,-0.49
202201,2.06,-0.83
202202,3.84,1.31
202203,3.07,0.01
202204,4.65,1.32
202205,3.17,-0.40
202206,3.80,0.03
202207,3.28,-0.52
202208,3.68,-0.02
202209,5.07,1.36
202210,2.39,-1.00
202211,3.87,0.45
202212,4.25,1.13
202301,4.03,1.14
202302,2.04,-0.49
202303,3.22,0.16
202304,3.90,0.57
202305,2.33,-1.24
202306,3.93,0.16
202307,6.60,2.80
202308,5.59,1.89
202309,3.13,-0.58
202310,3.93,0.54
