North Carolina Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,4.63,0.72
202102,6.54,2.71
202103,4.13,-0.16
202104,1.95,-1.59
202105,2.47,-1.52
202106,6.25,1.68
202107,5.88,0.21
202108,6.06,0.78
202109,3.21,-1.08
202110,3.26,-0.01
202111,0.91,-2.11
202112,2.31,-1.36
202201,4.81,0.90
202202,2.97,-0.86
202203,3.97,-0.32
202204,2.94,-0.60
202205,4.73,0.74
202206,2.19,-2.38
202207,6.60,0.93
202208,4.58,-0.70
202209,4.02,-0.27
202210,2.31,-0.96
202211,4.12,1.10
202212,3.40,-0.27
202301,4.47,0.56
202302,3.33,-0.50
202303,2.99,-1.30
202304,5.70,2.16
202305,3.20,-0.79
202306,4.57,0.00
202307,4.77,-0.90
202308,6.09,0.81
202309,3.55,-0.74
202310,1.13,-2.14
