North Dakota Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,0.25,-0.24
202102,0.18,-0.28
202103,0.12,-0.62
202104,0.66,-0.71
202105,2.07,-0.25
202106,2.49,-0.94
202107,1.26,-1.33
202108,2.72,0.60
202109,1.21,-0.42
202110,3.34,2.26
202111,0.45,-0.17
202112,0.88,0.39
202201,0.45,-0.04
202202,0.34,-0.12
202203,0.21,-0.53
202204,3.70,2.33
202205,4.08,1.76
202206,2.39,-1.04
202207,2.78,0.19
202208,1.38,-0.74
202209,0.65,-0.98
202210,0.68,-0.40
202211,0.70,0.08
202212,1.49,1.00
202301,0.18,-0.31
202302,0.29,-0.17
202303,1.10,0.36
202304,0.96,-0.41
202305,2.76,0.44
202306,3.66,0.23
202307,1.41,-1.18
202308,2.41,0.29
202309,2.33,0.70
202310,1.62,0.54
