Ohio Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,1.98,-0.83
202102,2.03,-0.26
202103,2.98,-0.39
202104,2.88,-0.63
202105,3.79,-0.01
202106,4.25,0.27
202107,5.66,1.68
202108,4.29,0.82
202109,3.79,0.79
202110,4.64,2.09
202111,1.56,-1.21
202112,3.83,1.08
202201,2.32,-0.49
202202,4.83,2.54
202203,2.82,-0.55
202204,2.96,-0.55
202205,5.39,1.59
202206,3.82,-0.16
202207,5.06,1.08
202208,4.10,0.63
202209,3.06,0.06
202210,1.38,-1.17
202211,2.80,0.03
202212,1.71,-1.04
202301,4.23,1.42
202302,2.33,0.04
202303,4.17,0.80
202304,3.20,-0.31
202305,2.29,-1.51
202306,3.29,-0.69
202307,5.22,1.24
202308,4.75,1.28
202309,0.97,-2.03
202310,3.14,0.59
