Oklahoma Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,2.25,0.82
202102,0.80,-0.82
202103,3.19,0.71
202104,3.44,0.02
202105,5.60,0.76
202106,5.04,1.02
202107,3.68,0.83
202108,2.56,-0.29
202109,1.09,-2.32
202110,4.20,1.21
202111,0.90,-1.31
202112,0.87,-0.85
202201,0.65,-0.78
202202,1.70,0.08
202203,2.59,0.11
202204,2.65,-0.77
202205,6.29,1.45
202206,3.71,-0.31
202207,1.61,-1.24
202208,2.16,-0.69
202209,0.79,-2.62
202210,2.85,-0.14
202211,2.66,0.45
202212,1.91,0.19
202301,1.28,-0.15
202302,2.49,0.87
202303,3.10,0.62
202304,2.35,-1.07
202305,4.15,-0.69
202306,4.45,0.43
202307,5.76,2.91
202308,2.32,-0.53
202309,2.75,-0.66
202310,3.91,0.92
