Oregon Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,4.51,-0.25
202102,4.47,0.65
202103,1.84,-1.60
202104,0.66,-1.72
202105,1.07,-1.01
202106,0.97,-0.57
202107,0.16,-0.37
202108,0.21,-0.40
202109,1.88,0.64
202110,3.12,0.68
202111,3.86,-0.68
202112,5.76,0.93
202201,3.17,-1.59
202202,1.32,-2.50
202203,2.18,-1.26
202204,4.15,1.77
202205,3.71,1.63
202206,2.68,1.14
202207,0.22,-0.31
202208,0.30,-0.31
202209,0.54,-0.70
202210,1.40,-1.04
202211,4.13,-0.41
202212,5.71,0.88
202301,2.76,-2.00
202302,2.23,-1.59
202303,4.74,1.30
202304,3.45,1.07
202305,1.60,-0.48
202306,0.96,-0.58
202307,0.05,-0.48
202308,0.93,0.32
202309,1.56,0.32
202310,2.15,-0.29
