South Dakota Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,0.31,-0.16
202102,0.37,-0.17
202103,1.21,0.16
202104,1.48,-0.47
202105,2.25,-0.67
202106,1.19,-2.24
202107,2.47,-0.07
202108,2.55,0.42
202109,2.03,0.42
202110,3.42,2.14
202111,0.24,-0.42
202112,0.63,0.15
202201,0.21,-0.26
202202,0.28,-0.26
202203,0.43,-0.62
202204,2.64,0.69
202205,3.41,0.49
202206,2.34,-1.09
202207,2.79,0.25
202208,1.83,-0.30
202209,0.59,-1.02
202210,0.56,-0.72
202211,0.49,-0.17
202212,1.42,0.94
202301,0.80,0.33
202302,0.71,0.17
202303,1.11,0.06
202304,1.22,-0.73
202305,2.97,0.05
202306,4.20,0.77
202307,2.56,0.02
202308,3.57,1.44
202309,2.26,0.65
202310,2.42,1.14
