Tennessee Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,3.32,-1.57
202102,5.05,0.60
202103,10.15,4.70
202104,2.82,-1.69
202105,4.27,-0.17
202106,4.52,0.29
202107,5.06,0.68
202108,7.13,3.28
202109,4.86,1.46
202110,5.30,2.27
202111,1.68,-2.37
202112,4.62,-0.33
202201,6.06,1.17
202202,8.56,4.11
202203,4.52,-0.93
202204,4.71,0.20
202205,4.46,0.02
202206,2.58,-1.65
202207,5.55,1.17
202208,4.27,0.42
202209,2.74,-0.66
202210,1.96,-1.07
202211,3.50,-0.55
202212,5.87,0.92
202301,6.41,1.52
202302,4.46,0.01
202303,5.75,0.30
202304,4.01,-0.50
202305,3.99,-0.45
202306,3.90,-0.33
202307,5.65,1.27
202308,6.56,2.71
202309,1.44,-1.96
202310,1.14,-1.89
