Utah Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,0.74,-0.48
202102,0.92,-0.30
202103,1.19,-0.17
202104,0.73,-0.49
202105,0.34,-0.81
202106,0.25,-0.48
202107,1.67,0.68
202108,2.14,0.93
202109,0.87,-0.19
202110,2.21,0.98
202111,0.25,-0.81
202112,2.24,1.13
202201,0.31,-0.91
202202,0.50,-0.72
202203,0.90,-0.46
202204,0.65,-0.57
202205,0.69,-0.46
202206,0.47,-0.26
202207,0.91,-0.08
202208,1.60,0.39
202209,1.33,0.27
202210,1.00,-0.23
202211,1.26,0.20
202212,1.78,0.67
202301,2.81,1.59
202302,1.19,-0.03
202303,2.92,1.56
202304,0.71,-0.51
202305,0.79,-0.36
202306,0.84,0.11
202307,0.44,-0.55
202308,2.02,0.81
202309,1.21,0.15
202310,0.74,-0.49
