Vermont Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,2.17,-0.78
202102,2.21,-0.34
202103,1.53,-1.52
202104,3.89,0.61
202105,2.51,-1.13
202106,2.97,-0.97
202107,7.55,3.40
202108,3.67,-0.32
202109,3.90,0.01
202110,4.83,1.31
202111,3.31,-0.30
202112,3.07,-0.08
202201,1.44,-1.51
202202,4.06,1.51
202203,3.13,0.08
202204,4.92,1.64
202205,3.28,-0.36
202206,3.32,-0.62
202207,3.77,-0.38
202208,3.57,-0.42
202209,5.57,1.68
202210,2.92,-0.60
202211,3.66,0.05
202212,4.28,1.13
202301,4.22,1.27
202302,1.72,-0.83
202303,3.34,0.29
202304,3.89,0.61
202305,2.44,-1.20
202306,5.73,1.79
202307,9.72,5.57
202308,6.21,2.22
202309,3.22,-0.67
202310,5.00,1.48
