Virginia Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,3.14,-0.21
202102,4.90,1.88
202103,3.47,-0.31
202104,2.73,-0.64
202105,2.20,-1.63
202106,4.09,0.11
202107,4.56,0.04
202108,6.05,1.70
202109,4.22,0.67
202110,3.40,0.28
202111,0.94,-1.91
202112,1.16,-2.06
202201,4.52,1.17
202202,2.79,-0.23
202203,3.44,-0.34
202204,2.76,-0.61
202205,5.53,1.70
202206,3.27,-0.71
202207,5.48,0.96
202208,4.36,0.01
202209,2.66,-0.89
202210,2.86,-0.26
202211,4.03,1.18
202212,3.89,0.67
202301,3.05,-0.30
202302,3.17,0.15
202303,1.86,-1.92
202304,4.56,1.19
202305,3.16,-0.67
202306,4.13,0.15
202307,4.94,0.42
202308,3.67,-0.68
202309,3.95,0.40
202310,1.24,-1.88
