West Virginia Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,2.78,-0.85
202102,3.85,0.73
202103,4.07,-0.01
202104,3.22,-0.50
202105,3.12,-1.03
202106,4.94,0.57
202107,3.31,-1.42
202108,5.56,1.38
202109,4.54,1.29
202110,3.34,0.39
202111,1.32,-1.72
202112,2.53,-0.89
202201,4.86,1.23
202202,4.26,1.14
202203,2.53,-1.55
202204,3.23,-0.49
202205,5.79,1.64
202206,4.61,0.24
202207,6.33,1.60
202208,6.07,1.89
202209,2.71,-0.54
202210,2.90,-0.05
202211,3.56,0.52
202212,2.52,-0.90
202301,3.47,-0.16
202302,3.51,0.39
202303,2.69,-1.39
202304,3.19,-0.53
202305,3.65,-0.50
202306,3.17,-1.20
202307,5.42,0.69
202308,4.83,0.65
202309,2.68,-0.57
202310,2.33,-0.62
