Alaska Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,10.6,8.4
202102,1.0,-3.8
202103,9.1,-1.7
202104,23.9,0.6
202105,40.3,2.5
202106,50.9,1.7
202107,53.9,1.2
202108,49.4,-0.1
202109,39.4,-1.2
202110,27.9,2.4
202111,4.6,-7.1
202112,6.8,3.1
202201,3.6,1.4
202202,8.6,3.8
202203,16.7,5.9
202204,25.1,1.8
202205,39.9,2.1
202206,52.7,3.5
202207,53.4,0.7
202208,50.1,0.6
202209,42.9,2.3
202210,28.7,3.2
202211,16.4,4.7
202212,7.4,3.7
202301,11.0,8.8
202302,6.0,1.2
202303,13.5,2.7
202304,16.7,-6.6
202305,39.8,2.0
202306,49.9,0.7
202307,56.1,3.4
202308,53.3,3.8
202309,40.6,0.0
202310,27.8,2.3
