Arizona Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,42.6,1.9
202102,46.5,1.8
202103,49.4,-0.1
202104,61.2,4.5
202105,67.9,2.9
202106,80.6,6.2
202107,81.5,1.8
202108,79.5,1.7
202109,74.8,2.8
202110,59.9,-1.1
202111,55.8,6.6
202112,45.6,4.1
202201,43.7,3.0
202202,44.2,-0.5
202203,51.8,2.3
202204,60.8,4.1
202205,68.7,3.7
202206,78.6,4.2
202207,82.0,2.3
202208,78.6,0.8
202209,75.6,3.6
202210,61.6,0.6
202211,46.0,-3.2
202212,42.9,1.4
202301,40.3,-0.4
202302,41.9,-2.8
202303,47.3,-2.2
202304,58.4,1.7
202305,66.5,1.5
202306,72.4,-2.0
202307,85.4,5.7
202308,80.7,2.9
202309,73.6,1.6
202310,64.6,3.6
