California Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,45.5,3.2
202102,47.4,2.1
202103,48.2,-0.6
202104,58.2,4.2
202105,64.5,3.8
202106,74.9,6.6
202107,79.8,5.1
202108,77.0,3.3
202109,72.2,3.7
202110,58.2,-1.3
202111,54.8,5.3
202112,43.5,0.4
202201,46.6,4.3
202202,48.0,2.7
202203,53.1,4.3
202204,55.9,1.9
202205,62.3,1.6
202206,72.1,3.8
202207,77.6,2.9
202208,78.3,4.6
202209,73.6,5.1
202210,64.1,4.6
202211,46.5,-3.0
202212,43.2,0.1
202301,42.7,0.4
202302,42.7,-2.6
202303,44.2,-4.6
202304,55.3,1.3
202305,62.0,1.3
202306,66.7,-1.6
202307,78.9,4.2
202308,75.8,2.1
202309,68.0,-0.5
202310,62.1,2.6
