Colorado Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,26.7,3.0
202102,24.8,-2.6
202103,35.8,2.1
202104,43.1,0.6
202105,52.9,1.1
202106,65.7,4.5
202107,70.0,2.9
202108,67.4,2.2
202109,62.4,5.1
202110,47.8,1.3
202111,40.7,7.2
202112,32.4,7.2
202201,26.6,2.9
202202,25.0,-2.4
202203,35.0,1.3
202204,43.8,1.3
202205,53.3,1.5
202206,64.3,3.1
202207,70.2,3.1
202208,67.8,2.6
202209,62.5,5.2
202210,47.6,1.1
202211,31.3,-2.2
202212,25.6,0.4
202301,24.0,0.3
202302,25.4,-2.0
202303,30.9,-2.8
202304,41.6,-0.9
202305,54.7,2.9
202306,60.0,-1.2
202307,69.3,2.2
202308,67.7,2.5
202309,60.6,3.3
202310,48.2,1.7
