Delaware Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,36.2,2.9
202102,35.6,1.2
202103,47.6,4.9
202104,55.3,3.3
202105,63.3,1.2
202106,73.8,3.1
202107,77.7,2.2
202108,76.9,3.2
202109,70.1,2.7
202110,63.2,6.8
202111,45.1,-0.6
202112,44.0,7.8
202201,31.7,-1.6
202202,39.2,4.8
202203,47.2,4.5
202204,53.3,1.3
202205,64.9,2.8
202206,72.4,1.7
202207,79.0,3.5
202208,78.0,4.3
202209,69.3,1.9
202210,55.8,-0.6
202211,49.8,4.1
202212,37.8,1.6
202301,43.3,10.0
202302,42.8,8.4
202303,45.6,2.9
202304,58.6,6.6
202305,61.7,-0.4
202306,70.1,-0.6
202307,78.5,3.0
202308,75.4,1.7
202309,69.8,2.4
202310,60.2,3.8
