Indiana Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,30.5,4.0
202102,23.7,-5.7
202103,45.8,6.3
202104,51.9,1.3
202105,59.6,-1.7
202106,72.7,2.2
202107,73.7,-0.8
202108,75.0,2.7
202109,68.4,2.7
202110,60.2,6.3
202111,40.0,-1.1
202112,40.5,10.2
202201,24.4,-2.1
202202,29.8,0.4
202203,43.7,4.2
202204,49.3,-1.3
202205,64.9,3.6
202206,72.2,1.7
202207,75.3,0.8
202208,73.0,0.7
202209,66.1,0.4
202210,52.8,-1.1
202211,43.1,2.0
202212,31.7,1.4
202301,36.4,9.9
202302,38.4,9.0
202303,41.0,1.5
202304,52.7,2.1
202305,62.0,0.7
202306,69.2,-1.3
202307,74.2,-0.3
202308,71.8,-0.5
202309,67.0,1.3
202310,56.4,2.5
