Iowa Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,23.9,6.2
202102,12.5,-10.2
202103,42.3,7.7
202104,49.3,1.2
202105,59.0,-0.8
202106,73.5,4.4
202107,73.4,-0.5
202108,72.9,1.5
202109,66.6,3.6
202110,55.5,4.1
202111,39.2,3.5
202112,31.9,9.2
202201,14.8,-2.9
202202,21.3,-1.4
202203,37.0,2.4
202204,43.8,-4.3
202205,61.3,1.5
202206,71.6,2.5
202207,74.2,0.3
202208,72.0,0.6
202209,65.1,2.1
202210,50.4,-1.0
202211,37.1,1.4
202212,21.3,-1.4
202301,24.2,6.5
202302,26.2,3.5
202303,34.0,-0.6
202304,49.4,1.3
202305,62.8,3.0
202306,71.3,2.2
202307,72.0,-1.9
202308,72.5,1.1
202309,67.2,4.2
202310,53.4,2.0
