Kentucky Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,35.7,2.1
202102,32.3,-4.2
202103,50.4,5.0
202104,54.6,-0.6
202105,62.4,-2.0
202106,73.4,0.8
202107,75.9,-0.4
202108,76.6,1.8
202109,68.9,0.3
202110,62.4,5.4
202111,43.4,-1.9
202112,47.6,11.4
202201,31.3,-2.3
202202,38.4,1.9
202203,49.0,3.6
202204,54.4,-0.8
202205,67.6,3.2
202206,74.1,1.5
202207,78.2,1.9
202208,75.4,0.6
202209,68.1,-0.5
202210,55.0,-2.0
202211,46.8,1.5
202212,37.7,1.5
202301,42.4,8.8
202302,45.7,9.2
202303,47.2,1.8
202304,56.6,1.4
202305,64.0,-0.4
202306,70.2,-2.4
202307,76.6,0.3
202308,74.6,-0.2
202309,69.5,0.9
202310,59.2,2.2
