Louisiana Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,50.6,1.3
202102,47.8,-4.6
202103,62.2,3.2
202104,64.7,-1.6
202105,72.3,-1.1
202106,80.4,0.6
202107,81.8,-0.1
202108,82.6,1.0
202109,76.9,-0.3
202110,71.7,4.2
202111,56.4,-1.0
202112,62.4,11.5
202201,48.2,-1.1
202202,51.3,-1.1
202203,58.9,-0.1
202204,67.4,1.1
202205,77.0,3.6
202206,82.7,2.9
202207,83.9,2.0
202208,81.8,0.2
202209,77.3,0.1
202210,66.2,-1.3
202211,58.1,0.7
202212,54.1,3.2
202301,55.9,6.6
202302,58.4,6.0
202303,63.7,4.7
202304,66.2,-0.1
202305,74.9,1.5
202306,82.0,2.2
202307,84.9,3.0
202308,87.9,6.3
202309,80.6,3.4
202310,69.4,1.9
