Maine Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,21.4,8.2
202102,18.5,3.6
202103,29.4,3.5
202104,43.2,4.9
202105,52.4,1.9
202106,64.9,5.1
202107,63.7,-1.6
202108,68.2,5.2
202109,59.0,4.1
202110,50.2,5.9
202111,35.3,3.0
202112,24.5,5.8
202201,10.7,-2.5
202202,19.2,4.3
202203,29.0,3.1
202204,40.6,2.3
202205,54.4,3.9
202206,60.1,0.3
202207,67.7,2.4
202208,67.2,4.2
202209,57.1,2.2
202210,49.1,4.8
202211,37.4,5.1
202212,27.6,8.9
202301,24.2,11.0
202302,18.2,3.3
202303,30.3,4.4
202304,41.7,3.4
202305,51.4,0.9
202306,59.9,0.1
202307,70.0,4.7
202308,63.5,0.5
202309,61.0,6.1
202310,51.7,7.4
