Maryland Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,35.4,3.0
202102,34.2,0.4
202103,47.2,4.7
202104,55.0,2.9
202105,62.2,-0.1
202106,73.1,2.5
202107,77.2,2.1
202108,77.1,3.9
202109,69.6,2.6
202110,62.9,7.1
202111,44.4,-0.4
202112,43.8,8.5
202201,30.9,-1.5
202202,38.5,4.7
202203,46.6,4.1
202204,53.1,1.0
202205,64.6,2.3
202206,72.1,1.5
202207,77.7,2.6
202208,76.7,3.5
202209,68.5,1.5
202210,54.6,-1.2
202211,48.8,4.0
202212,36.5,1.2
202301,42.0,9.6
202302,42.9,9.1
202303,45.1,2.6
202304,58.0,5.9
202305,60.9,-1.4
202306,69.2,-1.4
202307,78.1,3.0
202308,75.0,1.8
202309,69.5,2.5
202310,59.6,3.8
