Massachusetts Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,28.8,4.7
202102,27.6,2.6
202103,38.3,4.1
202104,47.8,3.1
202105,57.6,1.9
202106,69.2,4.8
202107,69.8,0.1
202108,72.7,5.2
202109,64.8,4.4
202110,56.3,6.3
202111,40.8,1.6
202112,36.0,7.9
202201,23.5,-0.6
202202,29.9,4.9
202203,38.1,3.9
202204,47.0,2.3
202205,59.8,4.1
202206,65.5,1.1
202207,73.3,3.6
202208,73.9,6.4
202209,62.4,2.0
202210,52.5,2.5
202211,44.6,5.4
202212,33.1,5.0
202301,35.3,11.2
202302,32.3,7.3
202303,37.6,3.4
202304,49.9,5.2
202305,56.2,0.5
202306,64.6,0.2
202307,74.0,4.3
202308,68.5,1.0
202309,64.6,4.2
202310,55.9,5.9
