Michigan Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,25.0,6.9
202102,17.4,-1.7
202103,36.8,7.8
202104,45.1,3.2
202105,54.0,0.4
202106,67.8,4.5
202107,68.7,0.6
202108,71.0,5.1
202109,61.4,2.9
202110,55.2,7.7
202111,36.3,1.7
202112,30.1,6.8
202201,15.4,-2.7
202202,19.4,0.3
202203,31.0,2.0
202204,40.2,-1.7
202205,57.6,4.0
202206,65.0,1.7
202207,69.1,1.0
202208,68.2,2.3
202209,60.9,2.4
202210,48.3,0.8
202211,38.6,4.0
202212,26.9,3.6
202301,28.2,10.1
202302,26.5,7.4
202303,31.4,2.4
202304,44.9,3.0
202305,55.0,1.4
202306,64.7,1.4
202307,68.4,0.3
202308,65.6,-0.3
202309,62.0,3.5
202310,50.6,3.1
