Minnesota Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,18.2,11.7
202102,6.5,-5.6
202103,35.6,10.3
202104,42.3,1.0
202105,55.1,0.9
202106,69.9,6.2
202107,71.1,2.3
202108,69.4,3.1
202109,61.6,4.8
202110,51.5,6.5
202111,32.2,4.3
202112,18.2,5.3
202201,3.6,-2.9
202202,6.5,-5.6
202203,26.1,0.8
202204,35.6,-5.7
202205,55.3,1.1
202206,66.2,2.5
202207,69.7,0.9
202208,67.3,1.0
202209,60.2,3.4
202210,46.9,1.9
202211,30.1,2.2
202212,12.6,-0.3
202301,15.2,8.7
202302,14.2,2.1
202303,21.2,-4.1
202304,38.3,-3.0
202305,59.3,5.1
202306,68.9,5.2
202307,67.2,-1.6
202308,67.9,1.6
202309,63.5,6.7
202310,47.7,2.7
