Mississippi Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,46.6,1.5
202102,44.2,-4.1
202103,60.0,4.4
202104,61.8,-1.8
202105,69.9,-1.4
202106,78.1,-0.2
202107,80.4,-0.4
202108,80.8,0.6
202109,74.8,-0.3
202110,68.3,3.9
202111,52.7,-1.2
202112,58.6,11.8
202201,44.2,-0.9
202202,48.8,0.5
202203,57.1,1.5
202204,64.0,0.4
202205,75.0,3.7
202206,81.2,2.9
202207,82.9,2.1
202208,80.1,-0.1
202209,74.8,-0.3
202210,62.8,-1.6
202211,55.0,1.1
202212,50.1,3.3
202301,52.6,7.5
202302,55.7,7.4
202303,59.9,4.3
202304,63.7,0.1
202305,72.4,1.1
202306,79.0,0.7
202307,82.7,1.9
202308,84.4,4.2
202309,77.7,2.6
202310,66.8,2.4
