Missouri Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,33.6,4.2
202102,24.4,-9.4
202103,49.9,6.3
202104,54.2,-0.3
202105,62.3,-1.9
202106,74.9,1.9
202107,76.7,-1.0
202108,77.4,1.4
202109,71.5,3.3
202110,60.5,3.5
202111,45.5,1.9
202112,44.7,11.7
202201,28.4,-1.0
202202,32.6,-1.2
202203,46.1,2.5
202204,53.1,-1.4
202205,65.9,1.7
202206,75.3,2.3
202207,79.8,2.1
202208,76.4,0.4
202209,69.5,1.3
202210,56.0,-1.0
202211,44.2,0.6
202212,33.1,0.1
202301,37.2,7.8
202302,39.9,6.1
202303,43.9,0.3
202304,56.2,1.7
202305,66.1,1.9
202306,73.9,0.9
202307,77.9,0.2
202308,76.5,0.5
202309,70.4,2.2
202310,58.9,1.9
