New Hampshire Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,23.0,5.9
202102,20.6,2.1
202103,32.4,3.6
202104,44.0,3.3
202105,54.5,1.9
202106,66.1,4.6
202107,65.6,-0.9
202108,69.2,5.1
202109,60.5,4.0
202110,52.1,6.3
202111,35.9,1.8
202112,28.9,7.2
202201,14.9,-2.2
202202,23.6,5.1
202203,32.0,3.2
202204,42.6,1.9
202205,57.2,4.6
202206,61.7,0.2
202207,68.7,2.2
202208,69.8,5.7
202209,58.1,1.6
202210,48.6,2.8
202211,39.5,5.4
202212,28.4,6.7
202301,29.2,12.1
202302,24.4,5.9
202303,32.4,3.6
202304,44.9,4.2
202305,52.8,0.2
202306,61.8,0.3
202307,70.4,3.9
202308,64.4,0.3
202309,61.8,5.3
202310,52.3,6.5
