New Mexico Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,35.1,1.5
202102,37.3,-0.5
202103,44.8,1.3
202104,53.2,1.8
202105,62.7,2.5
202106,73.1,3.9
202107,73.3,0.6
202108,72.2,1.3
202109,68.3,3.8
202110,55.6,1.5
202111,47.6,5.5
202112,42.0,7.7
202201,35.6,2.0
202202,35.1,-2.7
202203,44.5,1.0
202204,55.3,3.9
202205,64.8,4.6
202206,72.6,3.4
202207,76.3,3.6
202208,71.9,1.0
202209,68.1,3.6
202210,54.0,-0.1
202211,40.2,-1.9
202212,37.3,3.0
202301,35.7,2.1
202302,37.3,-0.5
202303,44.2,0.7
202304,52.1,0.7
202305,62.3,2.1
202306,69.6,0.4
202307,78.6,5.9
202308,75.2,4.3
202309,68.9,4.4
202310,57.5,3.4
