New York Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,24.0,4.2
202102,21.7,1.0
202103,35.0,4.4
202104,45.7,2.9
202105,54.7,0.2
202106,67.1,3.7
202107,67.7,-0.5
202108,70.4,4.4
202109,61.7,2.8
202110,54.8,6.8
202111,37.0,0.7
202112,32.8,8.3
202201,15.8,-4.0
202202,23.8,3.1
202203,33.7,3.1
202204,43.8,1.0
202205,58.5,4.0
202206,63.8,0.4
202207,69.7,1.5
202208,70.0,4.0
202209,60.5,1.6
202210,49.0,1.0
202211,40.9,4.6
202212,28.9,4.4
202301,30.5,10.7
202302,28.1,7.4
202303,32.5,1.9
202304,48.0,5.2
202305,53.8,-0.7
202306,63.1,-0.3
202307,70.7,2.5
202308,65.7,-0.3
202309,61.6,2.7
202310,53.1,5.1
