North Dakota Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,21.0,14.6
202102,5.8,-6.1
202103,35.9,11.1
202104,40.7,-0.5
202105,52.8,-0.9
202106,69.3,6.4
202107,73.8,4.8
202108,68.9,2.0
202109,62.2,5.9
202110,48.6,4.6
202111,32.6,6.2
202112,14.0,1.3
202201,8.7,2.3
202202,9.5,-2.4
202203,26.9,2.1
202204,33.6,-7.6
202205,52.9,-0.8
202206,64.6,1.7
202207,70.6,1.6
202208,69.5,2.6
202209,61.0,4.7
202210,46.0,2.0
202211,23.2,-3.2
202212,6.8,-5.9
202301,13.2,6.8
202302,14.6,2.7
202303,14.2,-10.6
202304,34.7,-6.5
202305,60.0,6.3
202306,69.2,6.3
202307,67.2,-1.8
202308,67.8,0.9
202309,61.8,5.5
202310,43.8,-0.2
