South Dakota Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,26.5,11.5
202102,12.8,-7.1
202103,39.4,8.6
202104,43.6,-1.1
202105,55.0,-1.0
202106,72.3,6.6
202107,75.3,2.7
202108,72.5,2.0
202109,65.0,4.8
202110,51.2,3.4
202111,38.2,6.5
202112,24.5,4.8
202201,19.2,4.2
202202,20.0,0.1
202203,33.4,2.6
202204,39.7,-5.0
202205,55.4,-0.6
202206,67.7,2.0
202207,74.6,2.0
202208,73.2,2.7
202209,65.4,5.2
202210,49.4,1.6
202211,29.1,-2.6
202212,15.2,-4.5
202301,19.9,4.9
202302,22.0,2.1
202303,23.9,-6.9
202304,41.3,-3.4
202305,61.2,5.2
202306,69.7,4.0
202307,70.8,-1.8
202308,71.6,1.1
202309,64.9,4.7
202310,47.3,-0.5
