Tennessee Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,39.7,2.5
202102,37.4,-2.7
202103,53.6,5.2
202104,56.2,-1.4
202105,64.1,-2.0
202106,74.0,0.2
202107,77.0,-0.1
202108,77.2,1.2
202109,69.7,-0.5
202110,63.4,4.6
202111,45.6,-1.8
202112,50.4,11.2
202201,35.6,-1.6
202202,41.8,1.7
202203,51.6,3.2
202204,56.7,-0.9
202205,69.0,2.9
202206,75.7,1.9
202207,80.1,3.0
202208,76.3,0.3
202209,69.4,-0.8
202210,56.4,-2.4
202211,49.0,1.6
202212,40.8,1.6
202301,45.0,7.8
202302,48.6,8.5
202303,50.5,2.1
202304,57.8,0.2
202305,66.1,0.0
202306,71.9,-1.9
202307,77.3,0.2
202308,76.2,0.2
202309,70.9,0.7
202310,61.0,2.2
