Texas Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,47.3,1.9
202102,44.0,-5.4
202103,59.4,3.1
202104,63.7,-1.1
202105,71.9,-0.6
202106,80.3,0.7
202107,80.9,-1.4
202108,81.9,0.0
202109,78.2,2.3
202110,69.8,3.7
202111,57.3,2.7
202112,59.1,12.2
202201,45.8,0.4
202202,45.8,-3.6
202203,57.0,0.7
202204,68.8,4.0
202205,77.9,5.4
202206,83.7,4.1
202207,87.1,4.8
202208,83.3,1.4
202209,77.8,1.9
202210,66.4,0.3
202211,54.0,-0.6
202212,50.0,3.1
202301,51.6,6.2
202302,52.0,2.6
202303,60.4,4.1
202304,64.5,-0.3
202305,73.7,1.2
202306,82.3,2.7
202307,86.2,3.9
202308,87.4,5.5
202309,81.7,5.8
202310,68.5,2.4
