Utah Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,28.1,2.8
202102,32.2,1.9
202103,38.4,1.1
202104,47.4,1.9
202105,57.1,2.4
202106,71.9,7.9
202107,76.2,4.7
202108,70.9,1.5
202109,64.4,3.8
202110,47.9,-1.0
202111,42.5,6.5
202112,31.1,4.1
202201,29.4,4.1
202202,29.4,-0.9
202203,40.1,2.8
202204,46.3,0.8
202205,54.8,0.1
202206,67.6,3.6
202207,75.4,3.9
202208,72.2,2.8
202209,66.6,6.0
202210,50.8,1.9
202211,32.2,-3.8
202212,28.0,1.0
202301,26.1,0.8
202302,26.8,-3.5
202303,32.3,-5.0
202304,44.5,-1.0
202305,57.8,3.1
202306,62.7,-1.3
202307,75.8,4.3
202308,70.8,1.4
202309,62.5,1.9
202310,51.0,2.1
