Vermont Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,20.5,5.2
202102,18.8,2.3
202103,30.9,3.7
202104,43.2,3.3
202105,53.3,1.1
202106,65.4,4.4
202107,64.9,-1.0
202108,68.8,5.4
202109,59.5,3.5
202110,51.6,6.4
202111,34.3,1.1
202112,28.2,8.0
202201,11.8,-3.5
202202,21.0,4.5
202203,30.8,3.6
202204,41.4,1.5
202205,57.1,4.9
202206,61.5,0.5
202207,67.5,1.6
202208,68.5,5.1
202209,57.9,1.9
202210,48.0,2.8
202211,38.6,5.4
202212,27.2,7.0
202301,27.4,12.1
202302,23.0,6.5
202303,30.2,3.0
202304,44.9,5.0
202305,51.6,-0.6
202306,61.6,0.6
202307,69.6,3.7
202308,63.9,0.5
202309,60.9,4.9
202310,51.6,6.4
