Virginia Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,36.6,1.8
202102,36.6,-0.1
202103,48.5,3.8
202104,55.3,1.3
202105,62.3,-0.9
202106,72.0,1.1
202107,75.9,1.2
202108,76.4,3.3
202109,68.4,1.3
202110,62.3,6.1
202111,44.5,-1.0
202112,45.8,9.0
202201,32.9,-1.9
202202,40.8,4.1
202203,49.0,4.3
202204,55.2,1.2
202205,65.1,1.9
202206,72.2,1.3
202207,76.9,2.2
202208,74.7,1.6
202209,67.9,0.8
202210,53.9,-2.3
202211,49.0,3.5
202212,37.3,0.5
202301,42.7,7.9
202302,46.3,9.6
202303,47.5,2.8
202304,57.8,3.8
202305,61.5,-1.7
202306,68.1,-2.8
202307,76.8,2.1
202308,74.4,1.3
202309,68.4,1.3
202310,59.0,2.8
