Wyoming Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,23.4,5.0
202102,17.4,-4.9
202103,32.2,3.1
202104,38.0,-0.8
202105,48.8,0.4
202106,64.9,7.3
202107,70.1,4.8
202108,64.1,0.7
202109,58.1,4.5
202110,43.9,1.4
202111,36.6,7.6
202112,26.2,5.6
202201,23.0,4.6
202202,20.8,-1.5
202203,32.0,2.9
202204,36.2,-2.6
202205,46.8,-1.6
202206,59.0,1.4
202207,69.0,3.7
202208,67.4,4.0
202209,59.7,6.1
202210,44.6,2.1
202211,24.9,-4.1
202212,19.4,-1.2
202301,19.8,1.4
202302,20.7,-1.6
202303,24.3,-4.8
202304,36.9,-1.9
202305,53.2,4.8
202306,57.3,-0.3
202307,66.2,0.9
202308,64.9,1.5
202309,57.5,3.9
202310,43.5,1.0
