company_name,company_number,company_status,company_type,kind,links,date_of_cessation,date_of_creation,sic_codes,company_subtype,address_line_1,locality,postal_code,country,region,address_line_2,year_of_cessation,year_of_creation
CAAMAQ LTD.,09638422,dissolved,ltd,search-results#company,{'company_profile': '/company/09638422'},2017-11-21,2015-06-15,['64191'],,107 Penarth Road Penarth Road,Cardiff,CF11 6JT,Wales,,,2017,2015
XELANT CONSULTING LTD,09638749,dissolved,ltd,search-results#company,{'company_profile': '/company/09638749'},2018-03-06,2015-06-15,['64191'],,15 Braybrooke Gardens,Saffron Walden,CB11 3WH,England,Essex,,2018,2015
KJLIU LIMITED,09643634,dissolved,ltd,search-results#company,{'company_profile': '/company/09643634'},2023-08-22,2015-06-17,['64191'],,9 Augustine Drive,Ashford,TN25 7GH,England,,Finberry,2023,2015
FRLC SERVICES LIMITED,09646354,dissolved,ltd,search-results#company,{'company_profile': '/company/09646354'},2021-05-09,2015-06-18,['64191'],,41 Kingston Street,Cambridge,CB1 2NU,,,,2021,2015
SANAM SOLUTIONS LTD,09659664,active,ltd,search-results#company,{'company_profile': '/company/09659664'},,2015-06-26,['64191'],,410 Gillott Road,Birmingham,B16 9LP,England,,,,2015
MASTHAVEN LIMITED,09660012,active,ltd,search-results#company,{'company_profile': '/company/09660012'},,2015-06-26,['64191'],,30 City Road,London,EC1Y 2AB,United Kingdom,,,,2015
JOHNSON 1888 PLC,09666456,dissolved,plc,search-results#company,{'company_profile': '/company/09666456'},2021-09-28,2015-07-01,['64191'],,2 Ryefield Court,Northwood,HA6 1LP,England,,Joel Street,2021,2015
VJ SAVAGE CONSULTING LIMITED,09672654,dissolved,ltd,search-results#company,{'company_profile': '/company/09672654'},2017-12-12,2015-07-06,"['64191', '70229', '82990']",,40 Wilbury Avenue,Hove,BN3 6GH,United Kingdom,East Sussex,,2017,2015
GM KEMP LIMITED,09672955,dissolved,ltd,search-results#company,{'company_profile': '/company/09672955'},2018-09-25,2015-07-06,['64191'],,2 Stamford Square,London,SW15 2BF,United Kingdom,,,2018,2015
CHRISTIE FINANCE LTD,09673833,dissolved,ltd,search-results#company,{'company_profile': '/company/09673833'},2018-12-11,2015-07-07,['64191'],,2 Stamford Square,London,SW15 2BF,United Kingdom,,,2018,2015
MAYGAG FAMILY LTD,09676191,dissolved,ltd,search-results#company,{'company_profile': '/company/09676191'},2022-02-15,2015-07-08,['64191'],,"Profile West Suite 2, Floor 1",Brentford,TW8 9ES,England,,950 Great West Road,2022,2015
ME TIMPSON LIMITED,09678746,dissolved,ltd,search-results#company,{'company_profile': '/company/09678746'},2017-07-18,2015-07-09,['64191'],,Westbury,Chalfont St Giles,HP8 4HX,England,Bucks,Stylecroft Road,2017,2015
JAV M SOLUTIONS LIMITED,09684253,dissolved,ltd,search-results#company,{'company_profile': '/company/09684253'},2017-08-29,2015-07-14,['64191'],,196 Pilgrims Way,Salford,M50 1AZ,United Kingdom,,,2017,2015
M CLOTHIER LIMITED,09689450,active,ltd,search-results#company,{'company_profile': '/company/09689450'},,2015-07-16,['64191'],,75 Park View,Sowerby Bridge,HX6 2HB,England,,,,2015
ENBYSEEN LIMITED,09702560,dissolved,ltd,search-results#company,{'company_profile': '/company/09702560'},2017-01-31,2015-07-24,['64191'],,106 Sachfield Drive,Grays,RM16 6QW,,Essex,Chafford Hundred,2017,2015
J.CARR LIMITED,09904330,dissolved,ltd,search-results#company,{'company_profile': '/company/09904330'},2018-01-23,2015-12-07,['64191'],,Tregudda High Street,Rochford,SS4 3QA,England,Essex,Canewdon,2018,2015
DEZILLE ENTERPRISES LIMITED,09904947,dissolved,ltd,search-results#company,{'company_profile': '/company/09904947'},2020-09-22,2015-12-07,['64191'],,30 Gould Road,Chatham,ME5 8EA,United Kingdom,Kent,,2020,2015
D A FINANCIAL SERVICES LTD,09909330,active,ltd,search-results#company,{'company_profile': '/company/09909330'},,2015-12-09,['64191'],,224 Woodhorn Road,Ashington,NE63 9ES,England,,,,2015
PENNACLE CONSULTING LIMITED,09909311,active,ltd,search-results#company,{'company_profile': '/company/09909311'},,2015-12-09,['64191'],,32 Caishowe Road,Borehamwood,WD6 5JA,,Herts,,,2015
SDOTD CONSULTANCY LTD,09930607,dissolved,ltd,search-results#company,{'company_profile': '/company/09930607'},2021-04-13,2015-12-29,['64191'],,24 Chapel Road,Poole,BH14 0JU,England,,,2021,2015
LC.BYRNE LIMITED,09937087,dissolved,ltd,search-results#company,{'company_profile': '/company/09937087'},2020-10-13,2016-01-05,['64191'],,8 Tudbury Way,Salford,M3 6TW,,Lancs,,2020,2016
NKA ASSOCIATES LTD,09948791,dissolved,ltd,search-results#company,{'company_profile': '/company/09948791'},2018-05-15,2016-01-13,['64191'],,149 Kimberworth Road,Rotherham,S61 1AH,England,South Yorkshire,,2018,2016
EDC FINANCIAL SERVICES LTD,09717517,dissolved,ltd,search-results#company,{'company_profile': '/company/09717517'},2021-03-16,2015-08-04,['64191'],,3 Airedale Close,Cheshire,WA5 3DJ,England,,Great Sankey,2021,2015
