Alabama Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,3.72,-1.46
202102,4.22,-0.96
202103,8.05,1.89
202104,5.55,0.74
202105,4.69,0.45
202106,8.73,4.45
202107,7.49,2.05
202108,7.43,3.09
202109,4.83,1.05
202110,4.60,1.77
202111,1.19,-2.66
202112,4.66,-0.49
202201,4.83,-0.35
202202,5.66,0.48
202203,7.15,0.99
202204,5.56,0.75
202205,5.00,0.76
202206,3.30,-0.98
202207,5.71,0.27
202208,6.41,2.07
202209,2.23,-1.55
202210,2.71,-0.12
202211,4.83,0.98
202212,4.46,-0.69
202301,6.91,1.73
202302,4.40,-0.78
202303,5.36,-0.80
202304,5.43,0.62
202305,3.68,-0.56
202306,5.66,1.38
202307,5.61,0.17
202308,3.98,-0.36
202309,2.04,-1.74
202310,1.40,-1.43
