Alaska Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,3.14,0.41
202102,1.93,-0.39
202103,2.80,0.57
202104,1.94,0.05
202105,2.15,0.04
202106,2.69,0.35
202107,3.49,0.21
202108,5.30,0.93
202109,4.27,-0.30
202110,4.79,0.40
202111,2.34,-1.05
202112,3.84,0.77
202201,3.57,0.84
202202,4.33,2.01
202203,2.49,0.26
202204,0.99,-0.90
202205,1.26,-0.85
202206,1.17,-1.17
202207,4.39,1.11
202208,6.33,1.96
202209,6.24,1.67
202210,5.84,1.45
202211,3.35,-0.04
202212,3.03,-0.04
202301,3.01,0.28
202302,2.41,0.09
202303,2.36,0.13
202304,1.98,0.09
202305,2.87,0.76
202306,2.95,0.61
202307,3.55,0.27
202308,4.74,0.37
202309,5.29,0.72
202310,4.06,-0.33
